env.reward_type,env.set_additional_goal,env,algo,loss_kl,loss_ent,loss_pol_surr,EpLenMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,loss_pol_entpen,TimeElapsed,loss_vf_loss,TimestepsSoFar,suc_percent,success percentage,perf_flag,best_suc_percent
distance,angle,PlanarQuadEnv-v0,ppo,,,,,,,,,,,,,,,,
,,,,0.011104607,1.4468199,-0.022730878,6.44,3.0338764190673828e-05,-533.7083279034202,166,166,0.0,35.751073360443115,244954.53,1021,,,,
,,,,0.007770092,1.4456202,-0.019797523,8.49,-0.0011947154998779297,-525.4121742438776,117,283,0.0,67.18897366523743,200408.88,2046,,,,
,,,,0.01429211,1.4300213,-0.032773416,9.48,-0.010773181915283203,-606.1543560205146,105,388,0.0,95.43148684501648,268203.44,3062,,,,
,,,,0.010849398,1.4284574,-0.025294388,7.04,7.361173629760742e-05,-474.68861629210363,148,536,0.0,130.62129497528076,183026.45,4094,,,,
,,,,0.0103313485,1.4031321,-0.025931098,7.16,-0.001859903335571289,-464.21009155905716,140,676,0.0,165.5235149860382,165187.89,5118,,,,
,,,,0.014432884,1.3887024,-0.026133426,7.23,0.00014293193817138672,-420.5802537924599,138,814,0.0,200.18743252754211,114513.086,6140,,,,
,,,,0.01219822,1.3726469,-0.025988508,7.85,-0.0027962923049926758,-418.7766811530392,123,937,0.0,233.58593773841858,102975.945,7165,,,,
,,,,0.015263742,1.3666857,-0.026450586,6.61,-0.0005667209625244141,-403.1507479412114,154,1091,0.0,269.7103271484375,95870.54,8187,,,,
,,,,0.017861087,1.371624,-0.030417657,8.09,-0.00031554698944091797,-427.9834246295127,118,1209,0.0,303.29136395454407,106807.65,9209,,,,
,,,,0.012147056,1.352167,-0.026441965,7.55,-0.0002918243408203125,-413.01114084869204,124,1333,0.0,337.4073429107666,101422.164,10226,,,,
,,,,0.021481996,1.3685439,-0.026293553,7.87,-0.0003072023391723633,-420.138800926762,127,1460,0.0,369.7155978679657,101361.4,11264,,,,
,,,,0.019235257,1.3675455,-0.03304039,6.57,-4.482269287109375e-05,-402.3069854847595,123,1583,0.0,402.0031180381775,96490.555,12281,,,,
,,,,0.016095968,1.3649521,-0.027626583,8.72,-7.021427154541016e-05,-423.37612663800167,118,1701,0.0,436.8593361377716,88792.08,13304,,,,
,,,,0.0119247455,1.3403046,-0.02477298,9.12,-2.944469451904297e-05,-423.0735442706347,126,1827,0.0,471.1974251270294,82164.92,14333,,,,
,,,,0.01189813,1.322174,-0.027560173,7.3,-0.0003254413604736328,-418.1591947191598,134,1961,0.0,506.95486307144165,91442.43,15350,,,,
,,,,0.021701202,1.3216479,-0.02699504,8.02,-0.00011420249938964844,-422.284746837231,118,2079,0.0,540.9794716835022,80040.1,16383,,,,
,,,,0.010741169,1.3222268,-0.028347509,9.14,-0.00010859966278076172,-423.09898822986804,107,2186,0.0,574.3810155391693,73410.65,17407,,,,
,,,,0.009258042,1.3283559,-0.027729468,10.14,-0.0011147260665893555,-436.0545039123489,100,2286,0.0,607.7824676036835,78625.76,18421,,,,
,,,,0.0133274775,1.3394586,-0.027227633,10.41,7.253885269165039e-05,-427.9981612001446,99,2385,0.0,640.6025741100311,71895.79,19456,,,,
,,,,0.018143572,1.3268853,-0.026543878,12.01,1.3589859008789062e-05,-445.72258743526595,85,2470,0.0,670.4590482711792,73467.62,20480,,,,
,,,,0.011935435,1.3311933,-0.028004218,13.39,-0.0002199411392211914,-446.60257044369996,84,2554,0.0,700.5827322006226,61151.5,21495,,,,
,,,,0.010548636,1.3201046,-0.03120499,9.15,0.0002785325050354004,-407.8646242475916,119,2673,0.0,735.0658197402954,56107.785,22519,,,,
,,,,0.011257303,1.3122447,-0.025336474,11.0,1.627206802368164e-05,-437.744348301572,94,2767,0.0,768.5365877151489,70065.45,23539,,,,
,,,,0.015788056,1.3096178,-0.026001152,10.57,4.172325134277344e-06,-427.8900877604994,95,2862,0.0,801.8105115890503,63324.156,24576,,,,
,,,,0.018013295,1.3080978,-0.02522038,10.24,-0.00011110305786132812,-425.26103998695544,99,2961,0.0,834.6519894599915,60415.836,25597,,,,
,,,,0.012099514,1.3045198,-0.030184597,8.56,-0.00013446807861328125,-411.2912690773282,115,3076,0.0,869.7989056110382,63402.336,26623,,,,
,,,,0.010427857,1.3119582,-0.030161323,9.72,-8.463859558105469e-06,-441.3919482414108,102,3178,0.0,903.8040466308594,79845.06,27630,,,,
,,,,0.015817674,1.2947166,-0.032902077,12.07,-4.887580871582031e-06,-435.4351338877134,86,3264,0.0,935.7960207462311,62012.676,28670,,,,
,,,,0.015347874,1.29266,-0.027134448,13.72,-2.47955322265625e-05,-454.80341539298263,72,3336,0.0,966.2462935447693,57171.51,29679,,,,
,,,,0.0109132975,1.3047745,-0.030733528,15.39,3.0934810638427734e-05,-463.9138882964232,67,3403,0.0,993.4160165786743,60940.477,30719,,,,
,,,,,,,,,,,,,,,,0.0,0.0,False,0
,,,,,,,12.897435897435898,,-449.9843921036524,39,39,,16.1341335773468,,503,,0.0,,
,,,,,,,11.848837209302326,,-441.2781913579709,47,86,,33.16409230232239,,1019,,0.0,,
,,,,,,,9.8,,-421.7648205948294,59,145,,51.33225870132446,,1529,,0.0,,
,,,,,,,10.44,,-414.9479180540782,37,182,,67.61231994628906,,2048,,0.0,,
,,,,,,,11.55,,-421.679764929035,43,225,,83.89492392539978,,2549,,0.0,,
,,,,0.01498437,1.31018,-0.027628478,9.31,-3.24249267578125e-05,-419.99016561683146,109,109,0.0,35.019686698913574,57841.516,1014,,,,
,,,,0.012756315,1.3250905,-0.030750733,10.26,2.4437904357910156e-05,-444.96545686210834,100,209,0.0,69.56689190864563,73884.375,2040,,,,
,,,,0.009980608,1.3343107,-0.02891351,10.43,0.00010013580322265625,-433.3062306279883,99,308,0.0,103.90533876419067,59785.105,3060,,,,
,,,,0.012600322,1.3207933,-0.027205672,11.33,5.1021575927734375e-05,-422.86080040081055,94,402,0.0,137.82409596443176,59841.016,4091,,,,
,,,,0.010620139,1.3249456,-0.033702612,11.1,1.519918441772461e-05,-452.06881354799816,84,486,0.0,170.64230823516846,68093.49,5101,,,,
,,,,0.013726378,1.3137048,-0.031170882,15.3,0.00015872716903686523,-473.03338959152535,61,547,0.0,197.76602292060852,40964.496,6130,,,,
,,,,0.014967421,1.3038939,-0.029535916,16.47,9.09566879272461e-05,-463.7884772906745,72,619,0.0,229.39810276031494,49993.266,7165,,,,
,,,,0.01106352,1.3088615,-0.033369258,12.84,1.4960765838623047e-05,-467.56338487867697,83,702,0.0,262.8037898540497,66042.64,8191,,,,
,,,,0.014402257,1.2937968,-0.027204614,10.38,1.0609626770019531e-05,-414.7092868547229,98,800,0.0,297.16350984573364,54194.727,9201,,,,
,,,,0.014558122,1.2941266,-0.03622836,12.03,-3.838539123535156e-05,-434.215721586502,87,887,0.0,330.30214953422546,43008.492,10239,,,,
,,,,0.012538869,1.2786944,-0.028548034,11.63,2.9027462005615234e-05,-428.1205220990539,88,975,0.0,363.63961935043335,40945.09,11254,,,,
,,,,0.014831584,1.2884138,-0.023272695,13.56,7.748603820800781e-07,-454.05113207223366,79,1054,0.0,396.254114151001,46591.41,12275,,,,
,,,,0.011033491,1.2803898,-0.030383479,10.53,6.93202018737793e-05,-428.024057017472,99,1153,0.0,430.7464847564697,52509.19,13312,,,,
,,,,0.010684139,1.2620604,-0.025297772,11.53,2.300739288330078e-05,-450.3435510672035,89,1242,0.0,464.93362641334534,56789.5,14320,,,,
,,,,0.012908809,1.2577221,-0.03513601,14.48,7.134675979614258e-05,-490.1347792617261,58,1300,0.0,493.79113006591797,56470.09,15357,,,,
,,,,0.014812767,1.2764856,-0.0219508,19.63,3.647804260253906e-05,-500.3994492656964,46,1346,0.0,518.1279458999634,35659.03,16383,,,,
,,,,0.016700264,1.2816721,-0.026681695,18.35,2.5272369384765625e-05,-481.5046360766072,62,1408,0.0,549.1287610530853,36756.996,17393,,,,
,,,,0.0114568155,1.2807217,-0.033284903,13.67,9.882450103759766e-05,-452.13479359574296,79,1487,0.0,583.0096867084503,43745.3,18428,,,,
,,,,0.013152615,1.2775172,-0.03270256,15.36,5.316734313964844e-05,-462.3486651594235,70,1557,0.0,616.006210565567,32810.957,19456,,,,
,,,,0.023835206,1.2820814,-0.030396167,12.96,-8.106231689453125e-06,-445.48453070338945,78,1635,0.0,649.2890622615814,36256.06,20469,,,,
,,,,0.013915013,1.2553589,-0.030924808,12.28,0.00025588274002075195,-429.080213896884,89,1724,0.0,683.6159460544586,29705.156,21503,,,,
,,,,0.015686823,1.2672156,-0.032516316,14.43,1.6033649444580078e-05,-459.82590288537904,69,1793,0.0,717.1966872215271,39147.188,22528,,,,
,,,,0.012404833,1.2788695,-0.02825885,11.63,-7.677078247070312e-05,-447.297762108368,86,1879,0.0,751.5639383792877,37603.91,23540,,,,
,,,,0.015306208,1.293852,-0.03145734,12.96,9.751319885253906e-05,-453.3050908222133,77,1956,0.0,784.7605166435242,38560.7,24561,,,,
,,,,0.019775692,1.2614596,-0.03208964,16.55,0.00031119585037231445,-454.9421059017327,55,2011,0.0,811.9186389446259,22147.438,25599,,,,
,,,,0.015303494,1.2653897,-0.028135862,14.93,4.172325134277344e-07,-458.5457474372339,68,2079,0.0,844.8931033611298,37028.48,26617,,,,
,,,,0.015042657,1.2646867,-0.029265039,14.94,-6.198883056640625e-06,-455.61982615222485,70,2149,0.0,878.1276712417603,30086.285,27639,,,,
,,,,0.012434898,1.2814152,-0.029921938,14.48,-1.5497207641601562e-06,-447.5761820909363,72,2221,0.0,911.1931617259979,34220.08,28669,,,,
,,,,0.01717701,1.2837255,-0.03190754,14.54,-1.1920928955078125e-06,-451.26299302315,71,2292,0.0,944.6009953022003,30139.02,29695,,,,
,,,,0.008919461,1.2778947,-0.029650055,13.22,3.0994415283203125e-06,-464.5630403212614,72,2364,0.0,977.2904717922211,35278.266,30703,,,,
,,,,,,,,,,,,,,,,0.0008460236886632825,0.0008460236886632825,False,0.0
,,,,,,,13.86111111111111,,-418.51518188699265,36,36,,16.98937678337097,,499,,0.0,,
,,,,,,,13.986301369863014,,-419.12996731764747,37,73,,33.569082736968994,,1021,,0.0,,
,,,,,,,13.74,,-427.69734408265145,38,111,,50.79737615585327,,1526,,0.0,,
,,,,,,,14.11,,-432.6991992215714,36,147,,67.42946863174438,,2037,,0.0,,
,,,,,,,15.34,,-436.90357809993407,26,173,,83.05873131752014,,2555,,0.0,,
,,,,0.014045289,1.2783698,-0.026499623,15.9375,-1.1920928955078125e-07,-464.91150744868173,64,64,0.0,30.271063089370728,29647.451,1020,,,,
,,,,0.01342892,1.2863387,-0.03597609,17.63,0.0001685619354248047,-463.4225142273761,53,117,0.0,58.450003147125244,16262.3,2032,,,,
,,,,0.023943389,1.2618401,-0.034861684,16.91,0.00011515617370605469,-461.3610624822128,62,179,0.0,90.65713834762573,29696.273,3069,,,,
,,,,0.014419609,1.2720315,-0.031953268,14.52,2.282857894897461e-05,-450.99928875665586,72,251,0.0,123.82305550575256,26749.65,4090,,,,
,,,,0.018691938,1.2703177,-0.030866945,14.42,1.430511474609375e-06,-455.74880667529857,70,321,0.0,156.3508620262146,29139.705,5117,,,,
,,,,0.022042723,1.2745559,-0.028691188,14.92,4.291534423828125e-06,-445.97552901416776,64,385,0.0,188.2019007205963,19510.26,6130,,,,
,,,,0.018742163,1.246413,-0.025128117,13.34,0.0001519322395324707,-440.8092711488049,84,469,0.0,222.5994393825531,22635.281,7161,,,,
,,,,0.010287439,1.2150668,-0.035630714,13.85,5.08427619934082e-05,-469.13396508611476,70,539,0.0,255.94675707817078,35917.05,8176,,,,
,,,,0.023021124,1.2169038,-0.029606923,13.36,0.0002759099006652832,-440.1840063772938,77,616,0.0,289.4785499572754,20238.41,9202,,,,
,,,,0.018013693,1.2214282,-0.03149483,13.93,7.033348083496094e-06,-452.83256332104094,71,687,0.0,322.82681107521057,24827.52,10224,,,,
,,,,0.02084024,1.2118294,-0.029133402,16.57,0.00025588274002075195,-450.86849489301954,57,744,0.0,349.32929587364197,17902.656,11246,,,,
,,,,0.0117375925,1.2177153,-0.027235195,15.88,0.0002713799476623535,-453.00296495032876,64,808,0.0,381.5118451118469,17929.19,12271,,,,
,,,,0.019622624,1.2192068,-0.02966636,16.92,0.00017309188842773438,-456.6689516809134,59,867,0.0,411.9632227420807,18890.113,13293,,,,
,,,,0.019966047,1.244459,-0.030331774,14.32,0.0001475811004638672,-458.3837303833622,74,941,0.0,444.9635488986969,22915.086,14323,,,,
,,,,0.017573431,1.2431338,-0.028243857,14.82,0.00026470422744750977,-443.4985237456983,65,1006,0.0,476.5089316368103,14828.036,15348,,,,
,,,,0.018229062,1.2562282,-0.028752148,14.44,0.0001857280731201172,-445.1016807826593,74,1080,0.0,510.61772060394287,16313.141,16370,,,,
,,,,0.018160254,1.2521952,-0.030785916,12.59,0.00012451410293579102,-435.3153259825352,84,1164,0.0,544.4158494472504,19336.842,17390,,,,
,,,,0.023168249,1.247565,-0.02984606,14.03,0.00033843517303466797,-436.7528265650794,71,1235,0.0,577.1118576526642,12253.373,18422,,,,
,,,,0.01929736,1.2615354,-0.02933323,13.36,3.874301910400391e-06,-435.93411076710123,73,1308,0.0,610.458322763443,16896.1,19455,,,,
,,,,0.020926762,1.2691137,-0.02729072,16.74,-3.933906555175781e-06,-467.51269729411166,50,1358,0.0,636.7217423915863,19765.799,20455,,,,
,,,,0.012563826,1.2649957,-0.033170592,17.21,0.00015980005264282227,-473.7101211967354,68,1426,0.0,668.6780180931091,23984.846,21495,,,,
,,,,0.016107723,1.2640793,-0.025445191,14.37,-7.140636444091797e-05,-439.1488220297192,73,1499,0.0,701.7864532470703,11366.401,22528,,,,
,,,,0.021700343,1.2539462,-0.025787152,12.81,-7.62939453125e-06,-433.9021976981795,82,1581,0.0,735.6797213554382,15541.873,23545,,,,
,,,,0.011302786,1.2138025,-0.032846514,13.36,-0.0007032155990600586,-426.80469307561464,76,1657,0.0,767.8164196014404,8220.111,24563,,,,
,,,,0.019177921,1.2199289,-0.028107777,13.82,0.00022494792938232422,-432.5341701990895,66,1723,0.0,800.0201802253723,11081.102,25585,,,,
,,,,0.01470781,1.2136736,-0.027783744,13.06,0.00015550851821899414,-430.72107106512993,77,1800,0.0,833.2572863101959,12984.674,26602,,,,
,,,,0.016092975,1.2199725,-0.032587387,13.33,0.00014275312423706055,-449.4865664297956,72,1872,0.0,866.1850020885468,18980.23,27645,,,,
,,,,0.016649578,1.2255542,-0.027311364,13.15,-1.6450881958007812e-05,-456.13390566404115,76,1948,0.0,900.0780699253082,13852.044,28662,,,,
,,,,0.03135141,1.2309723,-0.024143664,13.55,-5.841255187988281e-06,-435.058274053374,71,2019,0.0,929.9710555076599,12355.338,29676,,,,
,,,,0.01908546,1.2117068,-0.036113847,16.5,0.00010955333709716797,-461.5559082494757,68,2087,0.0,959.9413785934448,21180.912,30720,,,,
,,,,,,,,,,,,,,,,0.0,0.0,False,0.0008460236886632825
,,,,,,,14.617647058823529,,-431.6040347560381,34,34,,15.708320140838623,,497,,0.0,,
,,,,,,,13.743243243243244,,-422.0165704510772,40,74,,32.72675371170044,,1017,,0.0,,
,,,,,,,14.47,,-427.7161310034428,31,105,,48.446317195892334,,1529,,0.0,,
,,,,,,,15.65,,-434.3383224020912,27,132,,63.81970238685608,,2039,,0.0,,
,,,,,,,15.45,,-433.90280451592406,41,173,,80.28420352935791,,2560,,0.0,,
,,,,0.012751256,1.2153777,-0.032831408,11.01086956521739,0.0,-423.807468044173,92,92,0.0,34.63083624839783,12828.819,1013,,,,
,,,,0.021787856,1.2088935,-0.035272863,12.78,0.00016504526138305664,-431.1889985362345,75,167,0.0,67.43024015426636,10492.731,2045,,,,
,,,,0.017231403,1.21583,-0.032953642,14.0,-1.1324882507324219e-05,-444.6768084750862,74,241,0.0,100.4836745262146,13181.593,3070,,,,
,,,,0.014609592,1.2220848,-0.03765702,13.27,1.1801719665527344e-05,-456.8802437865815,74,315,0.0,133.23446536064148,15993.908,4092,,,,
,,,,0.012924449,1.2328913,-0.030192137,13.13,-2.6702880859375e-05,-439.23119535380005,80,395,0.0,166.4140076637268,11423.347,5102,,,,
,,,,0.016620861,1.2182646,-0.028801749,14.73,0.0001506209373474121,-447.23320581411645,68,463,0.0,195.14427161216736,11733.97,6140,,,,
,,,,0.020317322,1.2122548,-0.032358594,15.33,-6.318092346191406e-06,-454.8070324863906,78,541,0.0,226.7930290699005,13352.43,7162,,,,
,,,,0.015657356,1.2121065,-0.034073237,11.38,-2.86102294921875e-06,-443.1029703327612,83,624,0.0,259.65762662887573,17410.934,8192,,,,
,,,,0.020404229,1.2180645,-0.037146587,11.07,1.233816146850586e-05,-444.6124838914116,88,712,0.0,292.7816696166992,22178.08,9206,,,,
,,,,0.018441966,1.2435989,-0.03214544,9.2,4.351139068603516e-06,-417.2840070498212,118,830,0.0,328.9802191257477,10469.654,10236,,,,
,,,,0.009458706,1.259056,-0.029688247,12.05,-2.384185791015625e-06,-441.53492280447426,83,913,0.0,361.76440501213074,14404.267,11254,,,,
,,,,0.014932626,1.2569866,-0.03424245,12.86,-2.2411346435546875e-05,-457.6360910466797,84,997,0.0,394.24440598487854,11018.411,12281,,,,
,,,,0.018273698,1.2516001,-0.030282255,10.66,1.2934207916259766e-05,-404.65107554822066,98,1095,0.0,428.23991680145264,23617.518,13304,,,,
,,,,0.015585789,1.2431343,-0.033926338,12.12,8.434057235717773e-05,-424.48532850201883,82,1177,0.0,460.11713695526123,6438.0903,14331,,,,
,,,,0.010250407,1.2478218,-0.031193625,13.96,-0.00012254714965820312,-440.89151556918756,73,1250,0.0,489.8528950214386,4449.908,15345,,,,
,,,,0.019961584,1.2559607,-0.023952706,15.67,0.00012415647506713867,-444.78411518595465,73,1323,0.0,519.6511027812958,8218.74,16373,,,,
,,,,0.017978042,1.2399273,-0.032256063,10.32,7.808208465576172e-05,-417.34914704835063,100,1423,0.0,553.4764821529388,9130.444,17405,,,,
,,,,0.015674336,1.2331278,-0.028516525,11.05,-4.470348358154297e-05,-420.9023419413833,87,1510,0.0,586.4572763442993,7260.535,18421,,,,
,,,,0.021462293,1.2394059,-0.023808809,10.14,1.0132789611816406e-06,-416.11911597861086,101,1611,0.0,620.7934827804565,7057.1973,19453,,,,
,,,,0.01545282,1.2464559,-0.02562632,9.77,-4.649162292480469e-06,-413.6391931345897,103,1714,0.0,654.7929573059082,6288.0137,20460,,,,
,,,,0.011143527,1.2203605,-0.033210497,9.07,6.860494613647461e-05,-406.10844892982334,115,1829,0.0,688.6313829421997,3389.2598,21498,,,,
,,,,0.014896699,1.2211989,-0.028137801,8.29,-2.753734588623047e-05,-396.93829742753434,125,1954,0.0,724.3782262802124,6442.9844,22525,,,,
,,,,0.0081247715,1.2190866,-0.032556016,10.92,-2.7179718017578125e-05,-431.29294397184793,88,2042,0.0,756.8248207569122,8943.293,23535,,,,
,,,,0.0148307495,1.2059157,-0.03160074,11.38,1.1980533599853516e-05,-434.1808960259961,90,2132,0.0,787.589243888855,8444.48,24556,,,,
,,,,0.013634689,1.1994812,-0.028108547,15.63,0.000444948673248291,-448.6280515430178,64,2196,0.0,815.6415359973907,3912.4944,25594,,,,
,,,,0.012802628,1.2029966,-0.035076533,10.14,-1.6689300537109375e-05,-419.9816943716308,99,2295,0.0,848.601987361908,7450.5596,26604,,,,
,,,,0.018422632,1.1971437,-0.03471726,7.48,0.0002588033676147461,-403.05576683420304,124,2419,0.0,884.3788394927979,4930.185,27645,,,,
,,,,0.010953849,1.1697787,-0.032630473,10.48,-5.125999450683594e-06,-415.3847121977145,94,2513,0.0,916.9889419078827,2483.138,28654,,,,
,,,,0.015033195,1.1829436,-0.031671546,9.7,0.00010889768600463867,-417.1800531530609,110,2623,0.0,950.5409843921661,7556.1216,29696,,,,
,,,,0.01829833,1.1744703,-0.032322105,8.16,1.823902130126953e-05,-410.3577348558855,117,2740,0.0,985.513750076294,6988.317,30708,,,,
,,,,,,,,,,,,,,,,0.000364963503649635,0.000364963503649635,False,0.0008460236886632825
,,,,,,,8.5,,-399.6084808777552,60,60,,17.31516170501709,,510,,0.0,,
,,,,,,,8.64,,-400.35413743658864,58,118,,34.457106828689575,,1020,,0.0,,
,,,,,,,9.22,,-407.0001568483775,58,176,,51.47820544242859,,1528,,0.0,,
,,,,,,,8.52,,-406.31831919567054,55,231,,68.21009683609009,,2046,,0.0,,
,,,,,,,8.6,,-407.063320805079,60,291,,85.66641974449158,,2552,,0.0,,
,,,,0.00894146,1.1783044,-0.028759181,15.283582089552239,0.0,-440.991291291264,67,67,0.0,27.261021614074707,3728.292,1024,,,,
,,,,0.011566298,1.163249,-0.034895204,8.87,3.153085708618164e-05,-405.17672168074546,113,180,0.0,61.49592685699463,2456.228,2046,,,,
,,,,0.010732927,1.1651461,-0.031496212,8.18,1.138448715209961e-05,-414.2015592407219,123,303,0.0,95.66122317314148,6292.8,3062,,,,
,,,,0.012463619,1.1863421,-0.031011168,9.52,0.00011134147644042969,-416.43805190687686,104,407,0.0,128.70706725120544,5021.989,4095,,,,
,,,,0.01477624,1.1870061,-0.028679242,7.45,5.841255187988281e-06,-396.7399669814497,132,539,0.0,163.16332268714905,5482.6216,5120,,,,
,,,,0.017243698,1.1771543,-0.036425695,6.84,-0.00013768672943115234,-392.21377908081325,140,679,0.0,198.98740100860596,5309.3804,6127,,,,
,,,,0.012771841,1.1604793,-0.02753571,6.77,1.52587890625e-05,-388.73914672234287,138,817,0.0,234.5223789215088,1893.7667,7164,,,,
,,,,0.01471109,1.1603787,-0.029741524,5.44,5.245208740234375e-06,-379.6778807847229,152,969,0.0,270.8226692676544,5837.5015,8191,,,,
,,,,0.014093956,1.1724145,-0.031266853,7.28,0.0006720423698425293,-403.2571731408258,138,1107,0.0,305.49958515167236,2171.1042,9205,,,,
,,,,0.014293838,1.1800268,-0.024163632,12.42,0.00042003393173217773,-437.1497678738553,73,1180,0.0,332.36783266067505,4962.5376,10238,,,,
,,,,0.017070454,1.1806126,-0.02898144,6.29,0.0037969350814819336,-388.86447527637506,162,1342,0.0,368.9729907512665,1761.6876,11251,,,,
,,,,0.010551817,1.1937597,-0.026610311,7.55,0.004713714122772217,-394.3048675549409,145,1487,0.0,403.52392983436584,1981.8455,12283,,,,
,,,,0.012517161,1.1949244,-0.03335212,6.96,0.002178966999053955,-397.5192168610915,155,1642,0.0,438.27329778671265,7719.4385,13309,,,,
,,,,0.01202985,1.1889944,-0.028962374,5.67,-0.0016329288482666016,-405.93643331541796,165,1807,0.0,474.27397656440735,7872.936,14328,,,,
,,,,0.011986185,1.1825016,-0.031641364,5.84,0.014405906200408936,-396.87391021590213,152,1959,0.0,509.0140073299408,7724.2397,15352,,,,
,,,,0.009776215,1.1991367,-0.029311253,5.89,0.06361311674118042,-387.2215094945614,160,2119,0.0,543.9770143032074,1665.4973,16368,,,,
,,,,0.0140742725,1.203536,-0.031671762,5.92,0.03930032253265381,-387.2275918287973,174,2293,0.0,580.3899703025818,2820.3213,17407,,,,
,,,,0.014524811,1.2032833,-0.034375295,7.71,0.05533158779144287,-402.7633649678603,135,2428,0.0,613.3548429012299,3513.1016,18427,,,,
,,,,0.018694133,1.2045629,-0.025519315,5.34,0.04493916034698486,-386.7503048216339,133,2561,0.0,644.7480089664459,5152.6636,19453,,,,
,,,,0.015911661,1.191994,-0.029390333,5.42,0.04335123300552368,-380.4005402071457,186,2747,0.0,681.3045332431793,4305.19,20480,,,,
,,,,0.008742647,1.2057211,-0.029905701,5.46,0.12978029251098633,-380.93246890465593,187,2934,0.0,717.5001811981201,711.24744,21501,,,,
,,,,0.016952988,1.1990374,-0.038414825,5.5,0.23776787519454956,-381.6369324990571,182,3116,0.0,753.3126418590546,408.37888,22519,,,,
,,,,0.01143484,1.2027636,-0.025693078,4.85,0.254270076751709,-376.68624621518836,199,3315,0.0,790.0110802650452,351.5914,23545,,,,
,,,,0.012283433,1.1820834,-0.03372413,4.9,0.28029853105545044,-376.8035246142353,200,3515,0.0,826.4353206157684,242.3695,24576,,,,
,,,,0.020604445,1.1896627,-0.02782173,5.16,0.12301933765411377,-385.42598978807473,192,3707,0.0,862.391321182251,1438.2173,25597,,,,
,,,,0.01126012,1.1971339,-0.03210868,5.56,0.3569142818450928,-381.92165392476016,180,3887,0.0,896.92720079422,308.28952,26620,,,,
,,,,0.012290584,1.1981825,-0.030892972,8.49,0.15868014097213745,-408.8764476236864,133,4020,0.0,925.5678009986877,1518.603,27645,,,,
,,,,0.01475931,1.1989644,-0.022931287,4.9,0.08846861124038696,-383.2784151397721,195,4215,0.0,961.4141683578491,1658.692,28671,,,,
,,,,0.016158063,1.2079161,-0.029553013,4.95,0.447986364364624,-376.8906917973722,207,4422,0.0,997.2992978096008,134.08101,29695,,,,
,,,,0.010293514,1.1940365,-0.02072879,5.04,-0.0971224308013916,-391.07137032603407,216,4638,0.0,1034.7655472755432,2252.1643,30720,,,,
,,,,,,,,,,,,,,,,0.0,0.0,False,0.0008460236886632825
,,,,,,,4.5,,-373.43324114794785,112,112,,18.73079013824463,,512,,0.0,,
,,,,,,,4.79,,-375.4004773957134,107,219,,36.71776986122131,,1020,,0.0,,
,,,,,,,5.04,,-377.45256088921144,101,320,,54.054845571517944,,1535,,0.0,,
,,,,,,,4.39,,-372.7398549454865,112,432,,73.0333046913147,,2043,,0.0,,
,,,,,,,4.75,,-382.06809163009825,109,541,,91.30910849571228,,2560,,0.0,,
